id,player_id,college_name
314,327,Saint Joseph's
315,328,Illinois
316,329,Jacksonville University
317,332,Georgetown Towson University
318,333,Creighton
319,334,Oregon State
320,335,UNLV
321,336,Notre Dame
322,337,Arizona State
323,338,Pitt
324,339,Winston-Salem State
325,340,Green Bay
326,341,Kentucky
327,342,Alabama
328,343,Oakland
329,344,Indiana
330,345,Providence
331,346,Marquette
332,347,Utah
333,348,Weber State
334,350,UCLA
335,351,Oregon State San Jose State
336,352,St. John's
337,355,California University of Pennslyvania
338,356,Georgia Tech
339,357,Arkansas
340,358,Villanova
341,359,Colorado
342,360,New Mexico State
343,361,UConn
344,362,Bowling Green
345,363,Assumption University
346,364,UCLA
347,365,Arizona
348,366,NC State
349,368,Valparaiso
350,369,Penn
351,370,Duquesne
352,371,Colorado
353,372,Syracuse
354,373,North Carolina A&T
355,374,Pitt UNLV
356,375,California
357,376,Kentucky
358,377,Indiana State University
359,378,Houston
360,379,Washington State
361,384,Indiana
362,385,Arkansas
363,386,Kansas
364,387,UNC
365,388,Saint Joseph's
366,389,Memphis Kansas
367,390,South Dakota State
368,391,Kansas State
369,392,Monmouth University
370,393,Wisconsin
371,394,Dartmouth College
372,395,Temple
373,396,Pitt
374,397,Maryland
375,398,LSU
376,399,Iowa State
377,400,Holy Cross
378,401,Virginia Texas
379,402,LSU
380,404,Midland College Oklahoma
381,405,Kentucky
382,406,Southern Miss Montana State
383,407,Arizona
384,408,USC
385,409,Temple
386,410,Clemson
387,411,Cincinnati
388,412,Pitt
389,413,Marquette
390,414,Oregon State
391,415,Temple
392,416,Cincinnati
393,417,Dayton
394,418,Syracuse
395,419,Tennessee
396,420,Kentucky
397,423,Wake Forest
398,424,Utah
399,425,Arizona Tennessee Auburn University at Montgomery
400,426,Oregon
401,427,University of Bridgeport
402,428,UCLA
403,429,Duke
404,430,Georgetown
405,432,Weber State
406,433,Minnesota
407,434,Illinois
408,435,UCLA
409,436,Louisville
410,437,Minnesota
411,438,Tennessee
412,439,UNLV
413,441,Cincinnati
414,442,Saint Louis
415,443,Florida
416,444,Cheyney (PA)
417,445,Kentucky
418,446,Missouri
419,447,Clemson
420,448,UConn
421,449,Iowa Western Community College Clarinda Campus Idaho State University
422,450,Penn State
423,451,Maryland
424,452,Kansas State
425,453,Duke
426,454,Stanford
427,455,Muhlenberg College
428,457,Temple
429,458,Notre Dame Denver
430,459,Georgia Tech
431,460,New Mexico State
432,461,Kentucky
433,462,Vincennes University Maryland
434,463,South Carolina State South Carolina
435,464,New Mexico Junior College Northwest College Oregon
436,465,UConn
437,466,Georgetown
438,467,San Francisco
439,468,Western Michigan
440,469,Old Dominion
441,471,Cal State Fullerton
442,472,Iowa
443,473,Grambling State University
444,474,Oklahoma
445,475,Kentucky
446,476,Tennessee
447,477,Providence Penn
448,478,Boston College
449,479,Wichita State
450,480,Colorado
451,481,Detroit Mercy
452,482,Oregon State
453,483,Boston University
454,484,Eastern Michigan
455,485,St. John's
456,486,San Francisco
457,487,UCLA
458,488,Tulsa
459,489,Iowa State
460,490,Ohio State
461,491,Villanova
462,492,Texas Southern
463,493,Texas
464,494,Tennessee State
465,495,Princeton
466,496,Wyoming
467,497,UNC
468,498,Northern Illinois
469,499,Oklahoma State
470,500,Kentucky Villanova
471,501,BYU
472,502,UNC
473,504,Providence
474,505,Xavier
475,506,Arizona
476,507,Maryland
477,508,Duke
478,509,Oregon
479,510,Ohio State
480,511,Kentucky Michigan State
481,512,SMU
482,513,Elon University
483,514,College of Charleston
484,515,NYU
485,516,Stanford
486,517,Colgate
487,518,Kansas
488,519,Michigan
489,520,Dayton Kentucky
490,521,Wyoming
491,522,St. Bonaventure
492,523,UNC
493,524,Villanova
494,525,Minnesota
495,526,Florida
496,527,Auburn
497,528,Minnesota
498,529,University of Arkansas-Fort Smith Arkansas
499,530,Arkansas
500,532,LSU
501,533,Penn State
502,534,Louisville
503,535,Kansas
504,536,West Virginia Baylor
505,537,Villanova
506,538,Michigan State
507,539,University of Charleston
508,540,UConn
509,541,Dartmouth College
510,542,Kentucky
511,543,Toledo
512,544,Syracuse
513,545,Virginia Tech
514,546,Johnson C. Smith University
515,547,Michigan
516,548,South Carolina
517,549,Texas A&M
518,550,St. Bonaventure Penn State Iowa State
519,551,Washington
520,552,Valparaiso
521,553,West Virginia Wesleyan College
522,554,Virginia
523,555,Notre Dame
524,556,West Texas A&M University
525,557,Temple
526,558,Oregon
527,559,Houston
528,560,Oregon
529,561,Kentucky Washington
530,562,Louisiana
531,563,Providence
532,564,La Salle
533,565,TCU University of California Irvine
534,566,Morehead State University Auburn
535,567,DePaul
536,568,Stanford
537,569,Miami University
538,570,Cal State Fullerton
539,571,Miami (FL)
540,572,Saint Joseph's
541,573,Wake Forest Michigan
542,574,NC State
543,575,Syracuse
544,576,Humboldt State University
545,577,Jacksonville University
546,578,Illinois
547,579,Xavier
548,580,Texas-San Antonio
549,581,Indian Hills Community College
550,582,Southeastern Iowa Community College West Burlington Campus Iowa
551,583,Wayne State University
552,584,Pepperdine
553,585,Texas
554,586,University of Evansville
555,587,Oregon Missouri
556,588,California
557,589,Missouri
558,590,Okaloosa-Walton Community College
559,591,Baylor
560,592,Missouri
561,594,UNC
562,595,Wyoming
563,596,UNLV
564,597,NC State
565,598,Murray State
566,599,Oklahoma State
567,600,George Washington
568,601,UCLA
569,602,Slippery Rock University of Pennsylvania
570,603,Louisiana Tech
571,604,Houston New Mexico State
572,605,Mississippi State Idaho
573,606,Mississippi State
574,607,Dayton
575,608,Kansas
576,609,Michigan State
577,611,SMU
578,612,McNeese State University
579,613,Arkansas
580,614,Oregon
581,616,DePaul
582,617,Marquette
583,618,Manhattan University
584,619,Villanova
585,620,Temple
586,622,Arizona
587,623,Elon University BYU
588,624,DePaul
589,625,La Salle
590,627,Seton Hall
591,628,Indiana
592,629,San Francisco
593,630,Texas State University
594,631,Manhattan University
595,632,Northeast Mississippi Community College Murray State
596,633,Tennessee State
597,634,UNC
598,635,Jackson State University
599,636,Clemson
600,637,Indiana
601,638,Wake Forest
602,639,Arizona
603,640,Columbia University
604,641,Arizona
605,642,Michigan
606,643,Creighton
607,644,Colorado Iowa
608,645,UNC
609,646,Texas-El Paso Riverside Community College Utah State University
610,647,Cal State Fullerton
611,648,NYU
612,649,Michigan
613,650,UNC
614,651,Utah
615,652,Auburn
616,653,Michigan
617,654,Louisville
618,655,Colorado
619,656,Memphis
620,657,Minnesota
621,658,NC State
622,659,Illinois
623,660,Saint Louis
624,661,Maryland
625,662,Northwestern
626,663,UConn
627,664,Tennessee
628,665,Virginia
629,666,Lon Morris College Kentucky
630,667,Marquette Iowa State
631,668,Michigan State
632,669,Minnesota
633,670,Iona College
634,671,University of Evansville
635,672,Northeastern Junior College Denver
636,673,Pikeville College
637,674,Niagara University
638,675,UConn
639,676,Stanford
640,678,Baylor
641,679,Tyler Junior College Marquette
642,680,Florida State
643,681,Memphis
644,682,UCLA
645,683,La Salle
646,684,Marquette
647,686,Virginia Vanderbilt
648,688,Arizona Georgia Tech
649,689,Temple
650,690,Syracuse
651,691,Seton Hall
652,692,Long Island University
653,694,Bradley
654,696,UNC Wilmington
655,697,Alabama
656,698,San Diego State
657,699,Marquette Oakland
658,700,St. John's
659,701,Florida
660,703,SMU Lamar
661,704,Georgia Tech
662,705,Arizona State
663,706,Georgia
664,707,City College of San Francisco
665,708,Penn
666,709,Michigan
667,710,Rockhurst University
668,711,Indiana Kansas
669,712,Rhode Island
670,713,Long Beach City College USC
671,714,Dayton
672,715,Texas
673,716,UMass
674,718,Clemson
675,719,Ohio State
676,720,Murray State
677,722,Princeton
678,723,La Salle
679,725,Louisville Texas-El Paso
680,726,South Carolina State
681,727,Purdue
682,728,Auburn
683,729,Duke
684,730,DePaul
685,731,California
686,732,Northwestern California
687,733,University of Maine Virginia
688,734,Otterbein College
689,735,Oregon
690,736,Utah
691,737,Minnesota
692,738,Bradley
693,739,Memphis
694,740,Texas A&M University-Commerce
695,741,Wichita State
696,742,Notre Dame
697,743,Southern Illinois
698,744,Texas Tech
699,745,NC State
700,746,Guilford College
701,747,Western Kentucky
702,748,Boston College
703,749,Pitt
704,750,Vanderbilt Missouri
705,751,Purdue
706,752,Notre Dame
707,753,Virginia Tech
708,754,Hawaii
709,755,Indiana
710,756,South Carolina Providence
711,757,Mount St. Mary's University
712,758,St. Bonaventure
713,759,LSU
714,760,Texas A&M University-Commerce
715,761,West Virginia
716,762,LSU
717,763,Hawaii St. John's
718,764,Virginia Military Institute
719,765,UNC
720,766,Duke
721,767,Syracuse
722,768,Ohio State Marquette
723,769,San Francisco
724,770,Oregon State
725,771,Texas A&M
726,772,Bowling Green
727,773,San Bernardino Valley College University of California Riverside
728,774,Florida State
729,776,UConn
730,777,Michigan Florida
731,778,Hardin-Simmons University
732,779,University of South Alabama
733,780,Notre Dame
734,781,University of South Alabama Iowa State
735,782,Auburn
736,783,Kentucky
737,784,Cincinnati
738,785,Temple
739,786,George Washington
740,787,Texas Southern
741,788,Old Dominion
742,790,Cal State Fullerton
743,791,Villanova
744,793,Xavier
745,794,Kansas
746,795,UNC
747,796,Kansas
748,797,Trinidad State Junior College Utah
749,798,Utah
750,799,St. John's
751,800,Pitt
752,801,Gonzaga
753,802,Tennessee
754,804,DePaul
755,805,Houston
756,806,LSU
757,807,Kentucky
758,808,Western Kentucky
759,809,Wake Forest
760,810,Fordham
761,811,NC State
762,812,College of Charleston
763,813,Indiana
764,814,San Diego State Arizona State
765,815,West Texas A&M University
766,816,California
767,817,Montana
768,818,Missouri
769,819,UNC
770,820,Stanford
771,821,Wake Forest
772,822,Boise State
773,823,Florida
774,824,Canisius
775,826,Marquette
776,827,Washington
777,828,Fordham
778,829,Toledo
779,830,Grambling State University
780,831,Minnesota
781,832,Pepperdine
782,833,Michigan State
783,834,Temple
784,835,Syracuse
785,836,Xavier
786,837,Arizona State
787,838,California
788,839,Rhode Island
789,840,Georgetown
790,841,Oklahoma State Ole Miss Memphis
791,843,Minnesota
792,844,Ole Miss
793,845,Eastern Kentucky University
794,846,Louisville
795,847,Cincinnati
796,848,Belmont
797,849,UCLA
798,850,Irvine Valley College Dixie State (UT) UNLV
799,851,San Jose State Gonzaga
800,852,Arkansas
801,853,Tulsa Missouri
802,854,Colorado State
803,856,Michigan
804,857,Georgia
805,858,Georgia
806,859,Hofstra
807,860,Iona College Florida
808,861,Ohio State
809,862,Michigan State
810,863,Ohio Wesleyan University
811,864,Campbell
812,865,SE Missouri State
813,866,Colorado Colorado State
814,867,Xavier University of Louisiana
815,868,UConn
816,869,Rice University
817,870,Central Connecticut State University
818,871,Alabama
819,872,Wisconsin
820,873,Kentucky
821,874,Florida State
822,875,Minnesota
823,876,Minnesota
824,877,Oregon Eastern Michigan
825,878,Boise State
826,879,Cleveland State University
827,880,Minnesota Maryland
828,881,Syracuse
829,882,Houston Baptist University
830,883,Louisville
831,884,Kansas State
832,885,Virginia Tech
833,886,USC
834,887,Indiana Georgia Tech
835,888,St. Thomas University
836,889,Washington State
837,890,Illinois State
838,891,Florida State
839,892,Stanford
840,893,Stanford
841,894,New Mexico State
842,895,Wake Forest
843,896,Temple
844,897,Kansas
845,898,Saint Louis
846,899,Gonzaga
847,900,BYU
848,901,UCLA
849,902,Kansas
850,903,Bloomsburg University of Pennsylvania
851,904,Notre Dame
852,905,Rhode Island UNC Charlotte
853,906,New Mexico State
854,907,Arizona
855,908,Virginia Tech
856,909,Oklahoma State
857,910,Grambling State University
858,911,DePaul
859,912,Kansas State
860,913,BYU
861,914,Washington State
862,915,Kentucky
863,916,Ohio State
864,917,Fordham
865,918,Providence
866,919,Notre Dame
867,920,Kentucky
868,921,Oregon State
869,922,Seton Hall
870,923,Washington
871,924,Arizona
872,925,Utah State University
873,926,Wisconsin
874,927,Illinois
875,928,Ohio State
876,929,University of Portland
877,930,Idaho State University
878,931,Kansas
879,932,St. John's
880,933,Duke
881,934,Iowa
882,935,Dayton
883,936,Saint Mary's
884,937,University of South Carolina Aiken Mars Hill University Winston-Salem State
885,938,Indiana
886,939,Winthrop University
887,940,Notre Dame
888,941,Duquesne
889,942,USC
890,943,Howard College Tulsa Colorado
891,944,New Mexico
892,945,Auburn
893,946,New Orleans
894,947,Marquette
895,948,Colorado
896,949,Rutgers University
897,950,Georgia State University
898,951,DePaul
899,952,NC State
900,953,University of Central Oklahoma
901,954,Georgetown
902,956,DePaul
903,957,Niagara University
904,958,Michigan State
905,959,Providence
906,960,Wyoming
907,961,Cal State Long Beach
908,962,California
909,964,Wichita State Arkansas
910,965,Oregon State
911,966,Saint Joseph's
912,967,Mississippi State Southern Miss
913,968,Seton Hall Houston
914,969,Kentucky
915,970,Holy Cross
916,971,Tennessee State
917,972,Willamette University Eastern Washington Washington State
918,973,Florida State
919,974,Villanova San Francisco
920,975,Kentucky
921,976,Louisville
922,977,California
923,978,USC Upstate
924,979,Marquette
925,980,St. Bonaventure
926,981,Louisiana Tech
927,982,Michigan
928,983,Kentucky
929,984,Indiana Xavier
930,986,Colorado
931,987,Boston College
932,988,Iowa State
933,989,Penn State
934,990,New Mexico State
935,991,California
936,992,Texas A&M
937,993,Georgia Tech
938,994,Western Michigan
939,995,Tennessee
940,996,UNC
